,best time ,mean time for top 25%,standart deviation for top 25%,mean time for all,standart deviation for all
175,630.0,621.53125,109.44176087507684,640.0157480314961,116.23326967932186
176,701.0,647.34375,100.76910779568061,641.0472440944882,104.60174629063633
177,537.0,646.96875,113.68637901453938,645.1181102362204,118.70857680661669
178,760.0,622.09375,108.44421358900391,642.2283464566929,110.51049680975925
179,566.0,666.53125,92.36239236527766,636.5354330708661,111.47244956586367
180,515.0,623.3125,116.09221482834239,641.8425196850394,116.81652787256763
181,737.0,610.3125,107.224483415636,620.6062992125984,114.08604001914105
182,689.0,655.8125,102.61013519019454,657.6299212598425,109.96755449552421
183,548.0,626.71875,119.56228355312348,646.496062992126,120.80725026579917
184,705.0,653.46875,111.07429506162755,651.488188976378,109.43173661516093
185,682.0,636.15625,117.08039689007506,639.8976377952756,114.49628365496385
186,643.0,624.09375,104.1601409414249,632.6771653543307,106.35676715434631
187,811.0,639.84375,98.42259311731986,647.6850393700787,110.32012835861569
188,664.0,611.6875,137.70403895220358,633.7244094488188,117.38835722529225
189,687.0,657.15625,113.35814631484365,645.2204724409448,111.24753653015769
190,678.0,658.0,110.42022006860881,644.2440944881889,105.28938124857419
191,835.0,601.4375,114.23958855733856,628.2362204724409,118.75054623615196
192,627.0,660.96875,102.11099487047171,652.1338582677165,112.10908370374497
193,630.0,639.90625,93.58063347155489,630.3937007874016,109.69852441820956
194,772.0,663.28125,74.68610746609774,649.5511811023622,103.12813745445746
195,729.0,635.09375,101.4517617438825,645.503937007874,109.87228620465923
196,472.0,607.8125,106.42527821786514,624.1102362204724,111.38938076490189
197,660.0,614.65625,127.98989446803017,625.503937007874,112.17792911163747
198,678.0,611.34375,115.75826357516556,633.6377952755905,110.86259277605298
199,614.0,698.53125,89.32489307823155,640.4488188976378,113.52378145260099
200,577.0,637.5625,112.6204736881798,639.0314960629921,120.79656465156641
201,619.0,631.34375,124.76818739541542,620.6299212598425,111.34169604396439
202,683.0,628.6875,115.37180047026223,651.4566929133858,103.1326457174702
203,709.0,651.1875,105.92138520501892,639.8110236220473,106.5149231556673
204,419.0,660.96875,120.28286566854608,634.1023622047244,116.68983280917907
205,684.0,652.53125,91.25478904384964,646.5748031496063,105.25638138284845
206,784.0,615.53125,110.08036393216321,639.6692913385826,101.85732302504573
207,669.0,604.0,120.57751656092441,612.1102362204724,121.47040262597893
208,804.0,671.21875,90.2962950426954,654.7322834645669,112.35800829778027
209,439.0,629.4375,114.51308263141814,632.1259842519685,111.29785476110915
