,tournament,best_winning_streak,mean_duration,stdev
78,79000.0,661.0,734.637,154.37018893231942
79,80000.0,669.0,743.101,152.1997858047113
80,81000.0,679.0,741.746,147.7788803719936
81,82000.0,689.0,758.275,158.09701886816208
82,83000.0,692.0,751.757,153.0084571224741
83,84000.0,702.0,778.833,163.77580746557166
84,85000.0,709.0,760.944,162.59200738043677
85,86000.0,720.0,750.3,157.10183958184578
86,87000.0,730.0,766.631,170.24203605161682
87,88000.0,737.0,789.089,165.49048032741945
88,89000.0,746.0,789.108,170.68676086914297
89,90000.0,757.0,820.099,177.21355816923264
90,91000.0,767.0,817.502,178.45356257581412
91,92000.0,780.0,823.255,187.1726368222663
92,93000.0,784.0,819.787,171.8307237690629
93,94000.0,782.0,829.034,176.72382647509644
94,95000.0,792.0,848.325,190.23689278107966
95,96000.0,804.0,838.486,191.60489504185432
96,97000.0,810.0,857.035,196.33113297437063
97,98000.0,818.0,872.479,198.84882086399205
98,99000.0,830.0,854.447,185.84924318113323
99,100000.0,842.0,880.861,196.77306136511675
100,101000.0,854.0,873.992,197.605141471572
101,102000.0,862.0,885.412,203.37054421916662
102,103000.0,872.0,901.497,210.41836419618892
103,104000.0,881.0,870.315,199.38317826486767
104,105000.0,896.0,901.853,212.87846154789827
105,106000.0,905.0,920.594,223.87408774576838
106,107000.0,915.0,965.742,230.6758015830876
107,108000.0,927.0,945.482,223.54022831696312
108,109000.0,934.0,919.19,220.42415906610603
109,110000.0,941.0,900.629,207.51466781651845
110,111000.0,953.0,879.318,197.15858306449658
111,112000.0,965.0,870.377,198.0897646800561
112,113000.0,968.0,834.87,192.91974263926437
113,114000.0,980.0,846.8,191.88732110277635
114,115000.0,993.0,864.109,192.74776553568657
115,116000.0,1003.0,908.298,213.33228352970866
116,117000.0,1013.0,939.375,225.8583059685873
117,118000.0,1023.0,941.158,233.61224076661736
118,119000.0,1034.0,982.194,239.5821077710103
119,120000.0,1047.0,995.329,256.1085565907551
120,121000.0,1058.0,1032.999,262.7584803560106
121,122000.0,1055.0,999.636,257.01249289480074
122,123000.0,1065.0,1018.721,262.3225746271182
123,124000.0,1079.0,1037.585,267.3811264375255
124,125000.0,1084.0,1002.067,257.0012149990735
125,126000.0,1095.0,1064.74,283.81482061372344
126,127000.0,1106.0,1138.566,315.1213284498528
127,128000.0,1118.0,1089.576,285.1938151924056
128,129000.0,1128.0,1121.334,296.30221133835636
129,130000.0,1147.0,1149.501,306.79702736336935
130,131000.0,1153.0,1166.836,326.80625009935164
131,132000.0,1164.0,1199.812,332.91999137330276
132,133000.0,1172.0,1214.537,353.8286939056809
133,134000.0,1185.0,1213.894,355.8686819094931
134,135000.0,1192.0,1255.406,376.82204973170025
135,136000.0,1198.0,1226.889,355.1793950653669
