,tournament,best_winning_streak,mean_duration,stdev
234,235000.0,2146.0,2963.585,188.7328608774847
235,236000.0,2154.0,2959.978,204.90216083780084
236,237000.0,2157.0,2962.756,224.25927063111573
237,238000.0,2161.0,2969.785,190.8125749917966
238,239000.0,2165.0,2966.828,195.9042276623963
239,240000.0,2175.0,2952.068,238.80207992394034
240,241000.0,2178.0,2976.366,152.53976545150448
241,242000.0,2187.0,2959.278,211.36090157831933
242,243000.0,2192.0,2965.737,214.90871511178884
243,244000.0,2201.0,2976.815,168.28423210449634
244,245000.0,2197.0,2952.302,230.4002534634023
245,246000.0,2203.0,2967.549,190.99342815657297
246,247000.0,2211.0,2982.228,149.18157398284814
247,248000.0,2217.0,2963.515,207.12561351749812
248,249000.0,2223.0,2970.88,183.01589985572292
249,250000.0,2234.0,2956.605,214.55277899621808
